DATE,GDPC1,MEDCPIM159SFRBCLE
2013-01-01,17662.4,2.1093511141707
2013-02-01,,2.17331316432439
2013-03-01,,2.07259954816412
2013-04-01,17709.671,2.0562650224468
2013-05-01,,2.07499818827139
2013-06-01,,2.09294000404621
2013-07-01,17860.45,2.08622770856848
2013-08-01,,2.06328881129316
2013-09-01,,2.0587606476130103
2013-10-01,18016.147,1.9991863310769904
2013-11-01,,2.0434944630834098
2013-12-01,,2.13113033215575
2014-01-01,17953.974,2.10329807357261
2014-02-01,,2.09493025665373
2014-03-01,,2.23207101360501
2014-04-01,18185.911,2.2425838019211497
2014-05-01,,2.2916953749778197
2014-06-01,,2.22251068971686
2014-07-01,18406.941,2.25599757836052
2014-08-01,,2.22287932668388
2014-09-01,,2.19811951476134
2014-10-01,18500.031,2.30402746109264
2014-11-01,,2.27496795107918
2014-12-01,,2.23666457742531
2015-01-01,18666.621,2.1984162416814197
2015-02-01,,2.1653786791682403
2015-03-01,,2.13008080113339
2015-04-01,18782.243,2.19213116768522
2015-05-01,,2.18844854833533
2015-06-01,,2.32702817981487
2015-07-01,18857.418,2.2867317390906403
2015-08-01,,2.2770136700090498
2015-09-01,,2.36547224995431
2015-10-01,18892.206,2.35332251353317
2015-11-01,,2.35408737867
2015-12-01,,2.3082649284860803
2016-01-01,19001.69,2.37167990336582
2016-02-01,,2.4203529506962003
2016-03-01,,2.4027275628442797
2016-04-01,19062.709,2.4739656271642203
2016-05-01,,2.53865888716012
2016-06-01,,2.46626605579323
2016-07-01,19197.938,2.51374264344577
2016-08-01,,2.60630993996152
2016-09-01,,2.56470205251311
2016-10-01,19304.352,2.5425199580191498
2016-11-01,,2.5586622002228903
2016-12-01,,2.5757393244725897
2017-01-01,19398.343,2.6361225143792404
2017-02-01,,2.69885752934012
2017-03-01,,2.67306727990677
2017-04-01,19506.949,2.48394607895217
2017-05-01,,2.38691764982006
2017-06-01,,2.36964077007344
2017-07-01,19660.766,2.3389537102243
2017-08-01,,2.30004117544231
2017-09-01,,2.3309238412232003
2017-10-01,19882.352,2.36487727557166
2017-11-01,,2.3616764493516804
2017-12-01,,2.43805129800709
2018-01-01,20044.077,2.49840648250501
2018-02-01,,2.39203175334803
2018-03-01,,2.3960091615169903
2018-04-01,20150.476,2.51111019372419
2018-05-01,,2.58349493931438
2018-06-01,,2.64497844330702
2018-07-01,20276.154,2.64409056425328
2018-08-01,,2.64592643168278
2018-09-01,,2.6012058102395
2018-10-01,20304.874,2.6163278480680896
2018-11-01,,2.72452024900092
2018-12-01,,2.72086358134065
2019-01-01,20415.15,2.61505083398059
2019-02-01,,2.69558813715756
2019-03-01,,2.7997817234578903
2019-04-01,20584.528,2.7912432329518597
2019-05-01,,2.75596722530971
2019-06-01,,2.7835420334021403
2019-07-01,20817.581,2.87447861960657
2019-08-01,,2.90201336445808
2019-09-01,,2.9163047199768997
2019-10-01,20951.088,2.92169145333823
2019-11-01,,2.88474715181319
2019-12-01,,2.85250342732355
2020-01-01,20665.553,2.9229947600608797
2020-02-01,,2.91423895412397
2020-03-01,,2.89393150980874
2020-04-01,19034.83,2.82882711542223
2020-05-01,,2.86916338408507
2020-06-01,,2.75754052833259
2020-07-01,20511.785,2.83402481308093
2020-08-01,,2.82888748558243
2020-09-01,,2.71013814434162
2020-10-01,20724.128,2.63658213809104
2020-11-01,,2.47673023373294
2020-12-01,,2.38262128321503
2021-01-01,20990.541,2.1690062726756696
2021-02-01,,2.16227777778708
2021-03-01,,2.11969724921406
2021-04-01,21309.544,2.1907109034998
2021-05-01,,2.20832844378462
2021-06-01,,2.38436284538333
2021-07-01,21483.083,2.2940859280603703
2021-08-01,,2.4169994508034702
2021-09-01,,2.73550003651317
2021-10-01,21847.602,3.1299115889878304
2021-11-01,,3.50860887664644
2021-12-01,,3.79867522557493
2022-01-01,21738.871,4.262856427437271
2022-02-01,,4.561005137416441
2022-03-01,,4.87627280232008
2022-04-01,21708.16,5.21152571479606
2022-05-01,,5.5725695230269805
2022-06-01,,5.927145191335501
2022-07-01,21851.134,6.17732767825196
2022-08-01,,6.511215496409429
2022-09-01,,6.745093477575169
2022-10-01,21989.981,6.754440217701731
2022-11-01,,6.753989951454621
2022-12-01,,6.89634468434412
2023-01-01,22112.329,6.952152631231611
2023-02-01,,7.07746463207652
2023-03-01,,6.942412020850769
2023-04-01,22225.35,6.79648719643924
2023-05-01,,6.56626000574996
2023-06-01,,6.264460571539071
2023-07-01,22490.692,5.967723430056651
2023-08-01,,5.661396711280941
2023-09-01,,5.45391280095444
2023-10-01,22679.255,5.1870140988253794
2023-11-01,,5.12107622060562
2023-12-01,,4.92216216441683
2024-01-01,22768.866,4.85155687961976
2024-02-01,,4.578594256026849
2024-03-01,,4.553789096213451
2024-04-01,,4.4760364359939
